# LAG,DCF,DCF_ERROR
-45.000000,-0.632295,0.235157
-40.000000,-0.188300,0.165158
-35.000000,-0.100162,0.136314
-30.000000,-0.150230,0.157514
-25.000000,0.106436,0.136355
-20.000000,0.205400,0.191934
-15.000000,0.230722,0.168755
-10.000000,0.305528,0.212183
-5.000000,0.783694,0.238534
0.000000,0.862978,0.144652
5.000000,0.869584,0.182680
10.000000,0.342536,0.157960
15.000000,-0.051831,0.150535
20.000000,-0.138724,0.186839
25.000000,-0.317511,0.163203
30.000000,-0.032140,0.182155
35.000000,0.012477,0.147899
40.000000,-0.067602,0.175079
45.000000,-0.259656,0.155614
50.000000,-0.224295,0.138686
