# period(days),pearsons correlation coefficient
50.0,0.08422753028902706
51.0,0.07981451850911428
52.0,0.02329611181556113
53.0,0.05827816789917007
54.0,0.19587067955143653
55.0,0.12963787344390182
56.0,0.10174590361786016
57.0,0.08805512226950574
58.0,0.21579437636522764
59.0,0.20377171446678186
60.0,0.1402180774581458
61.0,-0.008729312877584853
62.0,0.11493651992456737
63.0,0.27346732661846157
64.0,0.2365862026637228
65.0,0.2286229359399095
66.0,0.15902274073385766
67.0,0.04352204341821371
68.0,0.15614328255204185
69.0,0.11506578670002057
70.0,0.08920633236862084
71.0,0.19206913084608454
72.0,0.09729498489442141
73.0,0.10825583432545151
74.0,0.05492714786146568
75.0,-0.06174271358617742
76.0,0.2519867159949146
77.0,0.21515461285188783
78.0,0.15970639402842635
79.0,0.3523971369426544
80.0,0.23387692903176563
81.0,0.30381288525512445
82.0,0.19245783710776931
83.0,0.0674447938579302
84.0,0.09673601506629376
85.0,0.1724599860329326
86.0,0.1596717442136577
87.0,0.08949433651485528
88.0,0.017280174050330294
89.0,0.0903519505055082
90.0,0.10408115662034421
91.0,0.11542023427516153
92.0,0.20090459716485323
93.0,0.13221797079979583
94.0,0.20207910102980012
95.0,0.1671522998075367
96.0,0.1434894975826536
97.0,0.1331723619022632
98.0,0.11815103371488904
99.0,0.14287171592877315
100.0,0.19432694176931528
101.0,0.0629252633211943
102.0,0.05750113957263054
103.0,0.12349138272182078
104.0,0.210782620180401
105.0,0.29842440424289024
106.0,0.38941771483116816
107.0,0.1358036623851474
108.0,0.32706486001657
109.0,0.1798382574966113
110.0,0.24150983470810114
111.0,0.07972994749647452
112.0,0.1824189771140779
113.0,0.10875629654510213
114.0,0.07016147311532553
115.0,0.0818164238199846
116.0,0.14454286967858987
117.0,0.10916918122242636
118.0,0.22276970813365332
119.0,0.12021514905206514
120.0,0.14679487585996892
121.0,0.2564792053020372
122.0,0.028348003149404832
123.0,0.033753155007670066
124.0,0.16397016533181388
125.0,0.08206853053527867
126.0,0.24849595763797844
127.0,0.484386485469455
128.0,0.20704135570294807
129.0,0.33454306037936565
130.0,0.30988756116144045
131.0,0.13255777693082885
132.0,0.1259874702125169
133.0,0.11341390072144902
134.0,0.12337804693467286
135.0,0.11443740219823917
136.0,0.25465780828016576
137.0,0.2248493873049038
138.0,0.13654624953733105
139.0,0.14936730015851427
140.0,0.035745550838066735
141.0,0.24138253847909613
142.0,0.19883598284946918
143.0,0.2155903156357847
144.0,0.16273624272112763
145.0,0.2532230993803899
146.0,0.26942636452885516
147.0,0.35134181296460243
148.0,0.2590021235631523
149.0,0.3125734559379415
150.0,0.04585901376942602
151.0,0.15222593281459332
152.0,0.2884492596663026
153.0,0.21121948725606982
154.0,0.264206443446066
155.0,0.4250287381098135
156.0,0.4454323271376822
157.0,0.48828480411434494
158.0,0.5922612434163024
159.0,0.6181083232714455
160.0,0.3990254412774154
161.0,0.4173476243683203
162.0,0.41449917737697295
163.0,0.3722831604131323
164.0,0.13180925327962104
165.0,0.2211970056578529
166.0,0.19387925289541444
167.0,0.1468261537261371
168.0,0.1885493964264722
169.0,0.3585983189238301
170.0,0.1416695663698372
171.0,0.06407585600095199
172.0,0.06856063488798073
173.0,0.1642079896373603
174.0,0.15948642947791491
175.0,0.19663773468912846
176.0,0.07782000877242945
177.0,0.10722551120445614
178.0,0.1081482906405312
179.0,0.12661250355768044
180.0,0.10709324958758029
181.0,0.20614673395501537
182.0,0.11251435765641009
183.0,0.10695327653731733
184.0,0.1363789372412098
185.0,0.1790482839081376
186.0,0.13931254742499363
187.0,0.13321341883028312
188.0,0.21738221426649754
189.0,0.25644938292556124
190.0,0.4221310822357332
191.0,0.46278694091124967
192.0,0.28126310842903257
193.0,0.2519214443211135
194.0,0.27614547886693963
195.0,0.35782002831828597
196.0,0.28629165873544116
197.0,0.19524944431583102
198.0,0.16650511272293947
199.0,0.10724416287620377
200.0,0.21864398614997826
201.0,0.17881218635098953
202.0,0.22095472435870822
203.0,0.251780065310404
204.0,0.22655756134787802
205.0,0.11439171354826508
206.0,0.11909496355674173
207.0,0.2089639428208188
208.0,0.18700842377621651
209.0,0.29798328003519436
210.0,0.3654445912319241
211.0,0.487317667133224
212.0,0.40927567525957076
213.0,0.28331593045164993
214.0,0.19282616993691387
215.0,0.3029233728610546
216.0,0.26927453885198965
